turn,player_move,bot_move,player_board,bot_board
1,"(0,0) miss","(0,6) miss",SSSS..*..S|.........S|.....S...S|.....S....|SS........|..........|S....SS...|...S......|.........S|SSS...S...|,*....SSSS.|S.S.......|........SS|...SSS....|S.......SS|..........|..........|.SSS......|..........|.....S....|
2,"(9,0) miss","(1,6) miss",SSSS..*..S|......*..S|.....S...S|.....S....|SS........|..........|S....SS...|...S......|.........S|SSS...S...|,*....SSSS.|S.S.......|........SS|...SSS....|S.......SS|..........|..........|.SSS......|..........|*....S....|
3,"(9,9) miss","(2,6) miss",SSSS..*..S|......*..S|.....S*..S|.....S....|SS........|..........|S....SS...|...S......|.........S|SSS...S...|,*....SSSS.|S.S.......|........SS|...SSS....|S.......SS|..........|..........|.SSS......|..........|*....S...*|
4,"(6,5) miss","(1,5) miss",SSSS..*..S|.....**..S|.....S*..S|.....S....|SS........|..........|S....SS...|...S......|.........S|SSS...S...|,*....SSSS.|S.S.......|........SS|...SSS....|S.......SS|..........|.....*....|.SSS......|..........|*....S...*|
5,"(8,3) miss","(1,7) miss",SSSS..*..S|.....***.S|.....S*..S|.....S....|SS........|..........|S....SS...|...S......|.........S|SSS...S...|,*....SSSS.|S.S.......|........SS|...SSS....|S.......SS|..........|.....*....|.SSS......|...*......|*....S...*|
6,"(7,0) miss","(0,5) miss",SSSS.**..S|.....***.S|.....S*..S|.....S....|SS........|..........|S....SS...|...S......|.........S|SSS...S...|,*....SSSS.|S.S.......|........SS|...SSS....|S.......SS|..........|.....*....|*SSS......|...*......|*....S...*|
7,"(8,0) miss","(2,5) hit",SSSS.**..S|.....***.S|.....X*..S|.....S....|SS........|..........|S....SS...|...S......|.........S|SSS...S...|,*....SSSS.|S.S.......|........SS|...SSS....|S.......SS|..........|.....*....|*SSS......|*..*......|*....S...*|
8,"(3,5) hit","(1,4) miss",SSSS.**..S|....****.S|.....X*..S|.....S....|SS........|..........|S....SS...|...S......|.........S|SSS...S...|,*....SSSS.|S.S.......|........SS|...SSX....|S.......SS|..........|.....*....|*SSS......|*..*......|*....S...*|
9,"(2,5) miss","(0,4) miss",SSSS***..S|....****.S|.....X*..S|.....S....|SS........|..........|S....SS...|...S......|.........S|SSS...S...|,*....SSSS.|S.S.......|.....*..SS|...SSX....|S.......SS|..........|.....*....|*SSS......|*..*......|*....S...*|
10,"(4,5) miss","(0,3) hit",SSSX***..S|....****.S|.....X*..S|.....S....|SS........|..........|S....SS...|...S......|.........S|SSS...S...|,*....SSSS.|S.S.......|.....*..SS|...SSX....|S....*..SS|..........|.....*....|*SSS......|*..*......|*....S...*|
11,"(3,4) hit","(1,3) miss",SSSX***..S|...*****.S|.....X*..S|.....S....|SS........|..........|S....SS...|...S......|.........S|SSS...S...|,*....SSSS.|S.S.......|.....*..SS|...SXX....|S....*..SS|..........|.....*....|*SSS......|*..*......|*....S...*|
12,"(3,3) hit","(0,2) hit",SSXX***..S|...*****.S|.....X*..S|.....S....|SS........|..........|S....SS...|...S......|.........S|SSS...S...|,*....SSSS.|S.S.......|..*****.SS|..*XXX*...|S.*****.SS|..........|.....*....|*SSS......|*..*......|*....S...*|
13,"(3,7) miss","(2,4) miss",SSXX***..S|...*****.S|....*X*..S|.....S....|SS........|..........|S....SS...|...S......|.........S|SSS...S...|,*....SSSS.|S.S.......|..*****.SS|..*XXX**..|S.*****.SS|..........|.....*....|*SSS......|*..*......|*....S...*|
14,"(5,9) miss","(3,4) miss",SSXX***..S|...*****.S|....*X*..S|....*S....|SS........|..........|S....SS...|...S......|.........S|SSS...S...|,*....SSSS.|S.S.......|..*****.SS|..*XXX**..|S.*****.SS|.........*|.....*....|*SSS......|*..*......|*....S...*|
